Country,Score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Peru,5.84089994430542,5.945525646209717,5.736274242401123,1.3706018924713135,1.1799687147140503,0.6615437865257263,0.6148437261581421,0.07817625999450684,0.02873055450618267,1.9070770740509033
Dominican Republic,5.822800159454346,5.966996669769287,5.678603649139404,1.5166972875595093,1.2715129852294922,0.5112380981445312,0.7298943996429443,0.08634815365076065,0.19556351006031036,1.5115151405334473
Mauritius,5.816400051116943,5.926630020141602,5.706170082092285,1.5704201459884644,1.3577836751937866,0.48974645137786865,0.6407958269119263,0.12277533859014511,0.11776747554540634,1.5170989036560059
Moldova,5.815899848937988,5.929676532745361,5.702123165130615,1.3853644132614136,1.277184009552002,0.541657030582428,0.6948560476303101,0.0773678869009018,0.044482506811618805,1.7949433326721191
Russia,5.785299777984619,5.858924388885498,5.71167516708374,1.6421922445297241,1.3511909246444702,0.5313519835472107,0.5514534115791321,0.13781295716762543,0.12052719295024872,1.450732707977295
Bolivia,5.784299850463867,5.894504070281982,5.674095630645752,1.2170525789260864,1.1794114112854004,0.48760786652565,0.7194611430168152,0.0995684266090393,0.06081860885024071,2.020343065261841
Ecuador,5.7245001792907715,5.849628448486328,5.599371910095215,1.3154677152633667,1.150650143623352,0.6400609016418457,0.6060811281204224,0.08740335702896118,0.07832969725131989,1.8464620113372803
Kyrgyzstan,5.713500022888184,5.795022010803223,5.6319780349731445,1.0542736053466797,1.4769147634506226,0.5880981087684631,0.8342744708061218,0.22521208226680756,0.02985326200723648,1.504842758178711
Montenegro,5.706999778747559,5.81524133682251,5.598758220672607,1.5705214738845825,1.3179855346679688,0.5874248147010803,0.6317283511161804,0.11043538898229599,0.13215145468711853,1.3567748069763184
Mongolia,5.696199893951416,5.78261137008667,5.609788417816162,1.3527040481567383,1.5106477737426758,0.4003860354423523,0.5008006691932678,0.23676706850528717,0.05526994168758392,1.639603614807129
Colombia,5.695099830627441,5.8058552742004395,5.584344387054443,1.4369055032730103,1.2406914234161377,0.6476790308952332,0.6439193487167358,0.07159985601902008,0.05860790237784386,1.595724105834961
Venezuela,5.6066999435424805,5.724562644958496,5.488837242126465,0.0,1.3213502168655396,0.4911383092403412,0.5179128646850586,0.1922653317451477,0.08616189658641815,2.99788761138916
Indonesia,5.568299770355225,5.6703362464904785,5.466263294219971,1.361494541168213,1.1842628717422485,0.4716709554195404,0.7794453501701355,0.3992150127887726,0.054712675511837006,1.3175106048583984
Bulgaria,5.462699890136719,5.568814754486084,5.3565850257873535,1.6293822526931763,1.4687789678573608,0.5666208863258362,0.620396077632904,0.08329027146100998,0.006150565575808287,1.0880794525146484
Armenia,5.454899787902832,5.559849262237549,5.349950313568115,1.443588376045227,1.154439926147461,0.60340416431427,0.6502339839935303,0.051427390426397324,0.17305009067058563,1.3787941932678223
South Africa,5.421999931335449,5.548584461212158,5.29541540145874,1.389106035232544,1.3692620992660522,0.32189443707466125,0.5365901589393616,0.07843785732984543,0.03398063778877258,1.692697286605835
North Macedonia,5.369100093841553,5.468161582946777,5.270038604736328,1.4753087759017944,1.2765878438949585,0.5693777203559875,0.5797271132469177,0.19378146529197693,0.014632130973041058,1.2596983909606934
Algeria,5.363500118255615,5.475703716278076,5.251296520233154,1.323540449142456,1.1906074285507202,0.5679004788398743,0.24701155722141266,0.09126922488212585,0.19999629259109497,1.7431371212005615
Hong Kong S.A.R. of China,5.316400051116943,5.403443813323975,5.229356288909912,1.9087110757827759,1.1844797134399414,0.8573154211044312,0.4847096800804138,0.1467726230621338,0.4016142189502716,0.3328280448913574
Albania,5.304200172424316,5.440069675445557,5.168330669403076,1.4378888607025146,0.9235725998878479,0.637987494468689,0.6897297501564026,0.13788948953151703,0.048980724066495895,1.428196668624878
Tajikistan,5.280700206756592,5.3606085777282715,5.200791835784912,,,,,,,
Congo (Brazzaville),5.221499919891357,5.395934104919434,5.047065734863281,0.8923410177230835,0.6218869686126709,0.30558526515960693,0.522735059261322,0.12380913645029068,0.13767823576927185,2.617492914199829
Mozambique,5.216400146484375,5.405818462371826,5.026981830596924,0.5597674250602722,0.8830713629722595,0.15556660294532776,0.7281112670898438,0.1576547771692276,0.1961711347103119,2.536088466644287
